Product_ID,Product_Category,Monthly_Sales_Volume,Inventory_Levels,Reorder_Point,Lead_Time,Demand_Variance,Price_Per_Unit,Supplier_Reliability_Score,Days_to_Stock_out
P0001,Food,1686,224,145,10,0.24965503188047147,7.889402168381034,10,1.0
P0002,Personal Care,1456,668,133,13,0.7642302547837334,31.188713086147946,8,1.0
P0003,Food,660,683,177,8,0.1745188011326138,17.104703199579397,8,6.112953507526168
P0004,Food,1300,764,317,14,0.6428368985197493,40.890159528673465,1,1.0
P0005,Personal Care,897,350,400,2,0.32081419871318884,18.966288151560818,10,1.721678786870824
P0006,Personal Care,1800,343,172,9,0.45036605263777896,25.484906708681052,5,1.0
P0007,Food,1315,768,381,1,0.35982436309362986,5.522924295864529,4,1.3209290594042962
P0008,Household,1915,238,348,8,0.42010544481845424,8.26010995075515,2,1.0
P0009,Food,1658,308,146,12,0.7471413146658209,22.662210038300817,8,1.5465342933066055
P0010,Food,1718,892,220,11,0.3674095440608576,26.597247562270557,3,1.7008445701466235
P0011,Food,900,241,313,12,0.6097641762672075,32.00092466536867,4,1.0
P0012,Food,1139,385,338,12,0.5284453619791897,18.124816041918645,7,1.0928837460433856
P0013,Personal Care,1556,597,155,4,0.6973040488263833,36.27418487569442,10,1.1178810662007024
P0014,Food,1187,422,449,4,0.9431467653922821,43.70550787351421,9,1.0
P0015,Household,959,833,206,5,0.7593148874892253,40.09329450020074,2,1.0
P0016,Personal Care,1454,332,418,8,0.2934463407316811,6.782847140676072,3,1.5972659372532223
P0017,Household,969,362,147,5,0.12806482155515622,26.622812626602304,4,3.539141339801323
P0018,Household,1898,414,160,8,0.3360376398698426,9.72185802881787,10,1.0
P0019,Household,1545,932,436,10,0.6355701376302293,15.892025713813736,1,1.0
P0020,Household,1249,434,125,1,0.14628323213582534,49.39981669702159,7,2.3030127495645036
P0021,Personal Care,537,857,391,12,0.5467296224811127,11.412299430568094,2,3.3932530002410544
P0022,Personal Care,729,950,356,10,0.6371585640252003,27.449966905311022,5,2.0626865672069865
